date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:46	64913/64913	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:23:55%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-Imperial-Hotel-Facade-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-Imperial-Hotel-Facade-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:47	56665/56665	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:25:00%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-facade-2_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-facade-2_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:47	95317/95317	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:31:37%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-facade-3_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-facade-3_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:48	37421/37421	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:30:01%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-lobby-2_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-lobby-2_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:49	42288/42288	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:31:01%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-lobby-3_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-lobby-3_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:49	112109/112109	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:33:45%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-lobby-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-lobby-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:49	40640/40640	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:31:49%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-business-center-2_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-business-center-2_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:49	413266/413266	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:32:51%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-lobby-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-lobby-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:51	40529/40529	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:32:26%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-business-center-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-business-center-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:51	48611/48611	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:33:14%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-diverse-fitness-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-diverse-fitness-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
18:19:51	53407/53407	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:33:35%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-diverse-fitness-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-diverse-fitness-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/)
